index,artist,title,mood
ML1,George Michael,I Want Your Sex,Happy
ML2,Rob Zombie,Pussy Liquor,Angry
ML4,Bing Crosby,Swinging On A Star,Happy
ML5,Ludacris,Get Back,Angry
ML6,Hole,Violet,Angry
ML7,Manic Street Preachers,Ifwhiteamericatoldthetruthforonedayit'sworldwouldfallapart,Angry
ML8,Emerson Hart,If You're Gonna Leave,Sad
ML9,Megadeth,Architecture of Aggression,Angry
ML10,Blondie,Heart of Glass,Happy
ML11,The Clientele,Impossible,Chill
ML12,The Tallest Man on Earth,Love Is All,Sad
ML13,Garbage,Silence Is Golden,Angry
ML14,Van Morrison,And It Stoned Me,Chill
ML15,The Proclaimers,I'm On My Way,Happy
ML16,50 Cent,My Gun Go Off,Angry
ML17,Collie Buddz,Mamacita,Happy
ML18,Avenged Sevenfold,Coming Home,Angry
ML19,Avril Lavigne,How Does It Feel,Sad
ML20,The Streets,Never Went to Church,Sad
ML21,Geto Boys,Chuckie,Angry
ML22,David Sylvian,September,Chill
ML23,Demon Hunter,The Tide Began To Rise,Sad
ML24,Lily Holbrook,Better Left Unsaid,Sad
ML25,Creed,Illusion,Angry
ML26,Egotrippi,Matkustaja,Sad
ML27,The Whitest Boy Alive,Don't Give Up,Chill
ML28,Opeth,By the Pain I See in Others,Sad
ML29,Salt The Wound,Better Than This,Angry
ML30,Iron Maiden,Aces High,Angry
ML31,Norah Jones,The Prettiest Thing,Chill
ML32,Lamb,Written,Chill
ML33,Nickleback,Rockstar,Angry
ML34,Mastodon,Megalodon,Angry
ML35,Natalie Walker,No One Else,Chill
ML36,Stephen Lynch,Country Love Song,Happy
ML37,Stereophonics,Bright Red Star,Sad
ML38,Bad Manners,Can Can,Happy
ML39,Hollywood Undead,Young,Angry
ML40,Hooverphonic,The Magnificent Tree,Chill
ML41,Working for a Nuclear Free City,Quiet Place,Chill
ML42,Bruce Springsteen,Atlantic City,Sad
ML43,Alison Moyet,Invisible,Sad
ML44,Eminem,We Made You,Happy
ML45,Polly Scattergood,I Hate The Way,Sad
ML46,Ulrich Schnauss,Wherever You Are,Chill
ML47,Tom Lehrer,We Will All Go Together When We Go,Happy
ML48,Helena Bonham Carter & Johnny Depp,Poor Thing,Sad
ML49,Megadeth,The World Needs a Hero,Angry
ML50,Morrissey,Life Is A Pigsty,Sad
ML51,Muse,Agitated,Angry
ML52,Fourplay,Fields Of Gold,Chill
ML53,Rascal Flatts,Summer Nights,Happy
ML54,JosÃ© Padilla,Adios Ayer,Chill
ML55,Emiliana Torrini,Jungle Drums,Happy
ML56,Dr. Dog,The Breeze,Chill
ML57,Girls In Hawaii,Bees & butterflies,Chill
ML58,Cradle of Filth,Dirge Inferno,Angry
ML59,Foals,Big Big Love (Fig. 2),Chill
ML60,Metallica,Welcome Home (Sanitarium),Sad
ML61,Imogen Heap,Little Bird,Chill
ML62,The Flying Burrito Brothers,Do You Know How It Feels,Sad
ML63,Grizzly Bear,Easier,Chill
ML64,Eric Church,Sinners Like Me,Chill
ML65,Bachman-Turner Overdrive,Roll On Down The Highway,Happy
ML66,ZZ Top,Gimme All Your Lovin',Happy
ML67,System of a Down,War?,Angry
ML68,Nachtmahr,Feuer Frei!,Angry
ML69,Stacey Kent,Bali Ha'i,Chill
ML70,Taylor Swift,You Belong With Me,Happy
ML71,The World/Inferno Friendship Society,Only Anarchists Are Pretty,Happy
ML72,Tiger Lou,Like my very own blood,Sad
ML73,Slayer,Spiritual Law,Angry
ML74,COLD,Stupid Girl,Angry
ML75,Grand Archives,Torn Blue Foam Couch,Chill
ML76,Ania,Turu Tu Tu...,Sad
ML77,Reel Big Fish,"New York, New York",Happy
ML78,Loverboy,Hot Girls In Love,Happy
ML79,Judas Priest,Bullet Train,Angry
ML80,The Foreshadowing,The Wandering,Sad
ML81,Erik Hassle,Hurtful,Sad
ML82,Good Charlotte,Girls & Boys,Happy
ML83,Riverside,Before,Sad
ML84,Saybia,The One For You,Sad
ML85,The Jam,Bricks And Mortar,Angry
ML86,Symphony X,The Divine Wings Of Tragedy,Sad
ML87,Nirvana,Scentless Apprentice,Angry
ML88,Deborah Harry,End Of The Run,Sad
ML89,Shania Twain,Man! I Feel Like A Woman!,Happy
ML90,BjÃ¶rn RosenstrÃ¶m,Mamma,Happy
ML91,The Ataris,The Boys Of Summer,Happy
ML92,Angie Stone,U-Haul,Chill
ML93,The Pipettes,Dirty Mind,Happy
ML94,Katie Melua,If The Lights Go Out,Chill
ML95,Steve Goodman,My Old Man,Sad
ML96,Atari Teenage Riot,Deutschland (Has Gotta Die!),Angry
ML97,U2,Sunday Bloody Sunday,Angry
ML98,Longing for Dawn,Lethal,Sad
ML99,Metallica,Metal Militia,Angry
ML100,Queen,Crazy Little Thing Called Love,Happy
ML101,Talking Heads,Psycho Killer,Angry
ML102,Matt Costa,Lilacs,Chill
ML103,Reel 2 Real,I Like to Move It,Happy
ML104,Kelly Clarkson,Already Gone,Sad
ML105,Diana Krall,You're My Thrill,Chill
ML106,Kanye West,We Don't Care,Happy
ML107,Rocky Votolato,Tennessee Train Tracks,Chill
ML108,Darren Hayes,A Conversation With God,Sad
ML109,Okkervil River,"So Come Back, I Am Waiting",Sad
ML110,Bloodhound Gang,The Bad Touch,Happy
ML111,Mudvayne,Dig,Angry
ML112,Megadeth,Recipe for Hate...Warhorse,Angry
ML113,Peter Sellers,Unchained Melody,Happy
ML114,The Replacements,Can't Hardly Wait,Sad
ML115,The Rolling Stones,Coming Down Again,Sad
ML116,MÃ³veis Coloniais de Acaju,Swing hum e meio,Happy
ML117,Dream Theater,The Enemy Inside,Angry
ML118,Dave Matthews Band,Old Dirt Hill (Bring That Beat Back),Chill
ML119,Maggie Reilly,All My Heart Can Hold,Sad
ML120,Xavier Rudd,Better People,Chill
ML121,George Jones,He Stopped Loving Her Today,Sad
ML122,CafÃ© Tacuba,Las Flores,Happy
ML123,Jack Johnson,"They Do, They Don't",Chill
ML124,Pearl Jam,Crazy Mary,Sad
ML125,Billie Holiday,Lady Sings The Blues,Sad
ML126,The Saturdays,Fall,Sad
ML127,Etta James,My Dearest Darling,Happy
ML128,Guided by Voices,Don't Stop Now,Sad
ML129,The Adicts,Chinese Takeaway,Happy
ML130,JoÃ£o Gilberto,Chega De Saudade,Chill
ML131,DJ Sammy,The Boys Of Summer,Happy
ML132,Stephen Lynch,For The Ladies,Happy
ML133,Howard Jones,Things Can Only Get Better,Happy
ML134,New Order,Crystal,Happy
ML135,DMX,We in Here,Angry
ML136,JaromÃ­r Nohavica,JeÅ¡tÄ› mi schÃ¡zÃ­Å¡,Sad
